# idx t phi1 phi3 phi4
99 0.000009832812 15.663701966248 99.771240683749 -0.228759316251
100 0.000010232812 -13.087848091959 99.743557158295 -0.256442841705
101 0.000010432812 -27.353944088609 99.730394353315 -0.269605646685
102 0.000010632812 -41.453975500553 99.717960218136 -0.282039781864
103 0.000010832812 -55.332443959563 99.706301363378 -0.293698636622
104 0.000011032812 -68.934955790643 99.695461124983 -0.304538875017
105 0.000011232812 -82.208434250316 99.685479404707 -0.314520595293
106 0.000011432812 -95.101325669715 99.676392524935 -0.323607475065
107 0.000011532812 -101.446281943296 99.672077107452 -0.327922892548
108 0.000011632812 -107.683513869859 99.667993792554 -0.332006207446
109 0.000011732812 -113.806900422318 99.664146424484 -0.335853575516
110 0.000011832812 -119.810440456156 99.660538607944 -0.339461392056
111 0.000011932812 -125.688258582380 99.657173704740 -0.342826295260
112 0.000012032812 -131.434610908953 99.654054830663 -0.345945169337
113 0.000012132812 -137.043890645102 99.651184852634 -0.348815147366
114 0.000012232812 -142.510633563022 99.648566386082 -0.351433613918
115 0.000012332812 -147.829523311695 99.646201792594 -0.353798207406
116 0.000012432812 -152.995396577642 99.644093177804 -0.355906822196
117 0.000012532812 -158.003248087620 99.642242389556 -0.357757610444
118 0.000012632812 -162.848235448417 99.640651016313 -0.359348983687
119 0.000012732813 -167.525683819090 99.639320385836 -0.360679614164
120 0.000012832813 -172.031090411134 99.638251564116 -0.361748435884
121 0.000012932813 -176.360128812271 99.637445354578 -0.362554645422
122 0.000013032813 -180.508653129708 99.636902297542 -0.363097702458
123 0.000013132813 -184.472701948920 99.636622669946 -0.363377330054
124 0.000013232813 -188.248502104182 99.636606485341 -0.363393514659
125 0.000013332813 -191.832472257274 99.636853494137 -0.363146505863
126 0.000013432813 -195.221226280985 99.637363184121 -0.362636815879
127 0.000013532813 -198.411576444224 99.638134781233 -0.361865218767
128 0.000013632813 -201.400536395760 99.639167250603 -0.360832749397
129 0.000013732813 -204.185323943824 99.640459297847 -0.359540702153
130 0.000013832813 -206.763363628988 99.642009370625 -0.357990629375
131 0.000013932813 -209.132289087962 99.643815660447 -0.356184339553
132 0.000014032813 -211.289945206172 99.645876104739 -0.354123895261
133 0.000014132813 -213.234390057170 99.648188389164 -0.351811610836
134 0.000014232813 -214.963896627150 99.650749950179 -0.349250049821
135 0.000014332813 -216.476954323085 99.653557977856 -0.346442022144
136 0.000014432813 -217.772270263166 99.656609418930 -0.343390581070
137 0.000014532813 -218.848770348511 99.659900980097 -0.340099019903
138 0.000014632813 -219.705600115256 99.663429131546 -0.336570868454
139 0.000014732813 -220.342125366425 99.667190110722 -0.332809889278
140 0.000014832813 -220.757932583168 99.671179926319 -0.328820073681
141 0.000014932813 -220.952829115157 99.675394362497 -0.324605637503
142 0.000015032813 -220.926843150204 99.679828983321 -0.320171016679
143 0.000015132813 -220.680223463328 99.684479137411 -0.315520862589
144 0.000015232813 -220.213438945761 99.689339962805 -0.310660037195
145 0.000015332813 -219.527177914572 99.694406392033 -0.305593607967
146 0.000015432813 -218.622347203832 99.699673157377 -0.300326842623
147 0.000015532813 -217.500071038443 99.705134796342 -0.294865203658
148 0.000015632813 -216.161689691972 99.710785657303 -0.289214342697
149 0.000015732813 -214.608757930051 99.716619905345 -0.283380094655
150 0.000015832813 -212.843043241119 99.722631528271 -0.277368471729
151 0.000015932813 -210.866523856475 99.728814342791 -0.271185657209
152 0.000016032813 -208.681386561850 99.735162000865 -0.264837999135
153 0.000016132813 -206.290024302876 99.741667996215 -0.258332003785
154 0.000016232813 -203.695033587062 99.748325670980 -0.251674329020
155 0.000016332813 -200.899211685079 99.755128222516 -0.244871777484
156 0.000016432813 -197.905553634339 99.762068710344 -0.237931289656
157 0.000016532813 -194.717249048080 99.769140063214 -0.230859936786
158 0.000016632813 -191.337678733319 99.776335086303 -0.223664913697
159 0.000016732813 -187.770411121259 99.783646468525 -0.216353531475
160 0.000016832813 -184.019198513899 99.791066789950 -0.208933210050
161 0.000016932813 -180.087973150782 99.798588529328 -0.201411470672
162 0.000017032813 -175.980843099988 99.806204071698 -0.193795928302
163 0.000017132813 -171.702087977661 99.813905716093 -0.186094283907
164 0.000017232812 -167.256154500506 99.821685683314 -0.178314316686
165 0.000017332812 -162.647651875880 99.829536123785 -0.170463876215
166 0.000017432812 -157.881347034236 99.837449125457 -0.162550874543
167 0.000017532812 -152.962159708846 99.845416721778 -0.154583278222
168 0.000017632812 -147.895157367868 99.853430899704 -0.146569100296
169 0.000017732812 -142.685550003966 99.861483607750 -0.138516392250
170 0.000017832812 -137.338684786841 99.869566764067 -0.130433235933
171 0.000017932812 -131.860040584136 99.877672264550 -0.122327735450
172 0.000018032812 -126.255222356339 99.885791990950 -0.114208009050
173 0.000018132812 -120.529955431391 99.893917819000 -0.106082181000
174 0.000018232812 -114.690079664854 99.902041626533 -0.097958373467
175 0.000018332812 -108.741543491575 99.910155301595 -0.089844698405
176 0.000018432812 -102.690397874911 99.918250750534 -0.081749249466
177 0.000018532812 -96.542790159643 99.926319906069 -0.073680093931
178 0.000018732812 -83.912245134100 99.942289182535 -0.057710817465
179 0.000018932812 -70.998022763698 99.958026492358 -0.041973507642
180 0.000019132812 -57.852698471152 99.973470079386 -0.026529920614
181 0.000019332812 -44.529557738158 99.988559604637 -0.011440395363
182 0.000019532812 -31.082381016625 100.003236380972 0.003236380972
183 0.000019732812 -17.565227529360 100.017443600235 0.017443600235
184 0.000020132812 9.318931796839 100.043562089799 0.043562089799
185 0.000020332812 22.670082419505 100.055997627581 0.055997627581
186 0.000020532812 35.877487795103 100.067762421978 0.067762421978
187 0.000020732812 48.889115710366 100.078812296599 0.078812296599
188 0.000020932813 61.653922061325 100.089106099559 0.089106099559
189 0.000021132813 74.122050216305 100.098605855285 0.098605855285
190 0.000021332813 86.245024850925 100.107276903069 0.107276903069
191 0.000021532813 97.975939505148 100.115088021853 0.115088021853
192 0.000021557813 99.436086674276 100.116050915176 0.116050915176
193 0.000021570313 100.164594589462 100.116528985229 0.116528985229
194 0.000021576563 100.528452979665 100.121133977271 0.121133977271
195 0.000021579688 100.710254518616 100.214914113309 0.214914113309
196 0.000021582813 100.891908334742 100.372339942797 0.372339942797
197 0.000021589063 101.254608968914 100.710695562168 0.710695562168
198 0.000021601563 101.977552724845 101.401986083245 1.401986083245
199 0.000021626563 103.413501422238 102.792174336253 2.792174336253
200 0.000021676563 106.245045072756 105.550670935714 5.550670935714
201 0.000021776563 111.742664083315 110.923233575280 10.923233575281
202 0.000021876563 117.071072207703 116.137214971503 16.137214971503
203 0.000021976563 122.226776809529 121.184889546810 21.184889546810
204 0.000022076563 127.206506834659 126.061696533008 26.061696533008
205 0.000022176563 132.007206256761 130.764036210018 30.764036210018
206 0.000022276563 136.626032019554 135.288798939007 35.288798939007
207 0.000022376562 141.060353286341 139.633213210972 39.633213210972
208 0.000022476562 145.307751098716 143.794783542386 43.794783542386
209 0.000022576562 149.366018115203 147.771261319517 47.771261319517
210 0.000022676562 153.233158292417 151.560629417650 51.560629417650
211 0.000022776562 156.907386444542 155.161093282080 55.161093282080
